id,trigger,conditions,script,text,options,notes
,,,,,,
greetingTDBFriendly,OpenCommLink,"$faction.id == TDB
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""身份核验通过。弧光设计局向您致意。""
OR
""敌我识别完成。指挥官 $personName 向您问好——很高兴见到你，我的朋友。""",,
greetingTDBHostileWeaker,OpenCommLink,"$faction.id == TDB
$faction.hostileToPlayer
$relativeStrength < 0",$ignorePlayerCommRequests = true 1,"""我们不是敌人吗？"" $personName 问道，语气中带着困惑。""向敌人发起通讯——你在期待什么？""
OR
""按流程，我现在应该挂断。"" $personName 的语气像在读一份内部备忘录，""但好奇心并不违反公司章程。给你六十秒。""
OR
""鉴于当前关系状态，此通讯将被全程记录。""",cutCommLink:切断通讯链接,
greetingTDBHostileWeakerDefiant,OpenCommLink,"$faction.id == TDB
$faction.hostileToPlayer
$relativeStrength < 0
$weakerThanPlayerButHolding",$ignorePlayerCommRequests = true 1,"""如果不想惹上麻烦的话，我建议你最好谨慎一些。""
OR
""身份核验通过。弧光设计局对您的信用评级持保留态度，但这不影响我们履行基本的通讯义务。""",cutCommLink:切断通讯链接,
greetingTDBHostileStronger,OpenCommLink,"$faction.id == TDB
$faction.hostileToPlayer
$relativeStrength >= 0",$ignorePlayerCommRequests = true 1,"""通讯记录会显示我给了你警告。"" $personName 停顿了一拍，""所以，别说我没给过机会。准备交火。""
OR
""不必浪费彼此的时间。准备交火。""",cutCommLink:切断通讯链接,
greetingTDBTOffNormal,OpenCommLink,"$faction.id == TDB
!$isHostile
!$player.transponderOn
$entity.relativeStrength >= 0",,"""请立刻打开应答器！根据弧光设计局的条款，此星区内不允许关闭应答器航行.""","turnOnTransponder:开启通讯器
cutCommLink:切断通讯链接",
greetingTDBTOffWeaker,OpenCommLink,"$faction.id == TDB
!$isHostile
!$player.transponderOn
$entity.relativeStrength < 0",,"""抱歉,此星区内不允许关闭应答器航行,如果有困难也许我们能帮到您。""","turnOnTransponder:开启通讯器
cutCommLink:切断通讯链接 ",
greetingTDBNeutral,OpenCommLink,"$faction.id == TDB
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""识别完成。请说明来意。""
OR
""身份已确认。这位旅者，请核实你此行的目的。""",,
,,,,,,
,,,,,,
,,,,,,
aiCores_turnInOptionSelTDB,DialogOptionSelected,"$option == aiCores_startTurnIn
$faction.id == plsp",FireAll PopulateCoresTurnInOptions,"""如果您真的准备上交这种东西,我们会很高兴收下他的,当然,我们会准备一个让您满意的价格.""",,
aiCores_turnInResponseTDB,AICoresTurnedIn,$faction.id == TDB,FireAll PopulateOptions,"""十分感谢您做出的贡献,这些核心可帮了我们大忙了!""",,
,,,,,,
,,,,,,
,,,,,,
